Fichero,Tipo,ValorBLb,TiempoBLb,ValorBLf,TiempoBLf,ValorES,TiempoES,MejorValor
ch130.txt,TSP,34235.8,.101462793,11750.6,.114447385,9162.07,.168367989,6110
ch130.txt,TSP,36118.8,.102265696,12623.4,.113549103,8542.77,.189238440,6110
ch150.txt,TSP,40829.9,.127615082,13208.6,.158196654,10377.6,.235613924,6528
ch150.txt,TSP,43408.1,.126510185,13003.8,.165067735,9699.77,.230490931,6528
ch150.txt,TSP,43507.5,.123134790,14424,.161772451,10244.3,.226556813,6528
d198.txt,TSP,151413,.188618799,47910.3,.258124518,30603.1,.357917155,15780
d198.txt,TSP,152716,.189687670,47317.5,.241564493,33352.2,.354128816,15780
d198.txt,TSP,154951,.185640282,43771.1,.278233839,32455.3,.322555845,15780
dantzig42.txt,TSP,1018.92,.023697734,918.685,.014792487,856.93,.022410806,699
dantzig42.txt,TSP,977.609,.022711732,877.091,.015096498,766.946,.024053533,699
dantzig42.txt,TSP,992.999,.023711509,945.474,.015685466,822.102,.024249706,699
eil101.txt,TSP,2200.8,.055282357,958.027,.072080464,889.517,.075562055,629
eil101.txt,TSP,2358.36,.055493447,948.403,.063556357,823.677,.086930570,629
eil101.txt,TSP,2429.36,.061303954,898.069,.069406536,936.262,.079879893,629
eil51.txt,TSP,677.39,.025696495,554.11,.016621070,477.946,.029505804,426
eil51.txt,TSP,683.736,.025948508,586.835,.016905453,471.532,.033605952,426
eil51.txt,TSP,721.837,.025686407,608.849,.014504851,529.766,.029780241,426
eil76.txt,TSP,1410.16,.045164140,839.178,.034640427,700.796,.047769192,538
eil76.txt,TSP,1415.88,.043146572,850.069,.032936755,697.237,.044913121,538
eil76.txt,TSP,1449.35,.040630773,719.078,.029620715,645.74,.051992911,538
fri26.txt,TSP,1035,.014844205,1250,.013220710,1044,.014854734,937
fri26.txt,TSP,1184,.014161310,1044,.014162154,990,.017425543,937
fri26.txt,TSP,979,.014031719,1181,.012586532,983,.016905520,937
gr17.txt,TSP,2187,.013326499,2277,.013322564,2187,.013305529,2085
gr17.txt,TSP,2217,.012826091,2490,.013205485,2201,.012860260,2085
gr17.txt,TSP,2697,.013217886,2232,.013642993,2259,.013244346,2085
gr202.txt,TSP,2661.88,.177579962,1313.23,.245857384,652.078,.360839488,549.9981
gr202.txt,TSP,2682.33,.179258828,1180.96,.225954476,660.266,.317663597,549.9981
gr202.txt,TSP,2702.28,.197799579,1275.15,.232542505,663.128,.358471686,549.9981
gr96.txt,TSP,2147.02,.055790461,849.528,.068500911,642.467,.099191470,512.3094
gr96.txt,TSP,2173.81,.057076922,966.665,.062773629,643.424,.092068709,512.3094
gr96.txt,TSP,2178.09,.057935827,804.018,.067227914,784.748,.081162409,512.3094
kroA100.txt,TSP,107831,.061559884,43539.7,.077408803,29170,.118602500,21282
kroA100.txt,TSP,109723,.055287204,35396.7,.072665099,32968.2,.120528608,21282
